Source,Use Case,Rating,Risk Summary,AI Suitability
Experian,"Credit, identity verification",AAA,"Highly regulated, explicit consent, strong governance",Excellent for financial and identity-based AI models
LinkedIn,"Professional identity, job data",AA,"Owned by Microsoft, public profiles allowed for scraping historically, but legal boundaries shifting",Use with caution; API preferable to scraping
Clearbit,"B2B enrichment, firmographics",AA-,"Commercial intent, data broker origin, GDPR compliance claims but little transparency","Reasonable, but monitor legality and source claims"
World Bank,Economic and development data,AAA,"Open government dataset, well-structured and clean",Ideal for training economic and geographic models
OECD,"Global policy, macroeconomic data",AAA,Transparent and structured datasets for research and public policy,Strong fit for academic and public sector ML models
Google Trends,Search behaviour analytics,AA,"Aggregated, anonymized, and public-facing with fair-use terms","Suitable for trend detection, behavioural AI"
Crunchbase,Startup and company insights,AA-,"Freemium data, partially crowdsourced, API preferred",Good for B2B and investor datasets with caveats
GitHub Public Datasets,"Code repos, software trends",AAA,Open-source and well-governed with licensing metadata,High-quality for training on developer patterns
Stack Overflow (via API),Developer Q&A and trends,AA,"Community-owned, fair-use under Creative Commons",Helpful for tech NLP but requires bias filtering
Yelp (licensed),Local business reviews,AA-,Licensed access only; scraping violates TOS,Bias potential but usable with appropriate filters
Common Crawl,Web-scale scraped text,BBB,"Large-scale scraping, unclear site-level consent, potential bias","Fine-tuning okay, not ideal for sensitive domains"
Reddit,"User discussion, opinion mining",BB,"Open content, but recent API changes + copyright tension","Good for sentiment, but heavy on bias and ethics flags"
Twitter (X),"Public discourse, trends",BB-,"API access restricted, scraping restricted, moderation inconsistent",Declining quality; legacy datasets aged and risky
Amazon Reviews,"Product sentiment, feedback",B+,Public data but TOS violation if scraped; major bias + spam risk,Use for non-critical applications only
Wikipedia,General knowledge base,BBB,Open license but factual accuracy and bias concerns,"Good for retrieval, but not always source-of-truth"
Kaggle Datasets,ML benchmark data,BBB,"Wide range of quality, mostly licensed well","Ideal for prototyping, not always enterprise-grade"
Indeed Scraped,Job listings data,BB,"Scraping violates TOS, bias in job title representation",Usable if licensed; risky otherwise
Zillow,Real estate pricing data,BBB,"Partial open access, unclear API terms in some regions",Useful in housing models; US-heavy bias
IMDb,Movie metadata,BB,"Public facing but scraping discouraged, limited API",Good for research; legal status murky
Quora,User Q&A,B,"Unstructured, sometimes unreliable; unclear scraping rules",Not recommended without licensing
HaveIBeenPwned,Security breach data,C,"Sensitive personal data, clear ethical boundary",Do not use for model training; analysis only under strict conditions
TikTok (scraped),"Trends, culture, video metadata",D,Legal exposure + geopolitical risk; scraping is TOS-violating,Not safe for commercial AI use
Facebook (scraped),"Social graph, interest data",D,"Historic scandal source (Cambridge Analytica), data misuse risk",Avoid — legacy datasets are radioactive
Instagram (scraped),Lifestyle and visual trends,D,High copyright risk; scraping violates terms,Not suitable for commercial AI
YouTube Comments (scraped),"Video sentiment, user feedback",C,"Public but biased, low consent model",Toxicity risk; requires heavy filtering
4chan,Anonymous message board data,D,"High bias, extremism, and ethical risk",Unsafe for training; red flag for trust systems
Telegram Public Chats,Real-time group sentiment,D,"Encrypted platform, scraping = clear violation",Use only for threat analysis with care
Parler,Right-wing social content,C,Polarised content; legal and ethical volatility,Unreliable training source
Gab,Alt-tech social media,D,"Extremist content, zero moderation",Avoid at all costs
